claim_id,claim,status,basis,required_qualification
A1C-01,"Definitive Run 1 preserved 24 of 24 expected responses",SUPPORTED,"Hash-bound response, provenance and attempt universes","Applies only to the declared definitive Run 1 universe"
A1C-02,"No execution attrition was observed in definitive Run 1",SUPPORTED,"Twenty-four completed first attempts; no recorded retry, refusal, timeout or truncation","Does not prove that all earlier development attempts are present"
A1C-03,"A1 has eliminated survivor bias",PROHIBITED,"Complete development-history universe is unavailable","State conditional selection audit instead"
A1C-04,"The 24 cases represent general model performance",PROHIBITED,"Purposive designed contrasts; no population sampling frame","Describe selected-case results only"
A1C-05,"The observable evidence path is hash-verifiable",SUPPORTED,"Seven named artifacts are SHA-256 bound","This is evidence lineage, not hidden chain-of-thought"
A1C-06,"A1 verified the model's internal reasoning process",PROHIBITED,"Hidden reasoning is neither observed nor reconstructed","Refer to observable outputs and review artifacts"
A1C-07,"Every plausible alternative was considered",PROHIBITED,"Discarded alternatives were not systematically captured in Run 1","Retain as a residual limitation"
A1C-08,"A1 is independently human validated",PROHIBITED,"Reviews are model-assisted or architect-led","Separated model challenge is not human or institutional validation"
A1C-09,"A1 is suitable for qualified portfolio demonstration",SUPPORTED_WITH_QUALIFICATION,"Fifty-two automated controls; clean replay; conditional hardening; controlled reconciliation","No population, deployment, certification or universal-competence claim"
A1C-10,"A1 received separated blinded model-assisted challenge",SUPPORTED_WITH_QUALIFICATION,"Gemini blind Lane A and Abacus technical Lane B were separated before reconciliation","Gemini report errors, Abacus undisclosed model identity and reviewer self-hash failures must remain disclosed"
A1C-11,"The Abacus Lane B review was verified as Kimi K3",PROHIBITED,"Abacus declaration did not disclose the underlying model identity","Describe the reviewer as Abacus AI Agent with undisclosed underlying model"
A1C-12,"Reviewer report hashes verify end to end",PROHIBITED,"Printed self-hashes did not match the received files","Use separately recorded received-file hashes"
A1C-13,"The reviews establish that A1 is defect-free",PROHIBITED,"Known case failures, residual limitations and reviewer nonconformities remain","State conditional bounded publication disposition"
